Entity,Code,Year,plugin_hybrid_share,battery_electric_share,petrol_share,diesel_gas_share,full_mild_hybrid_share
Sweden,SWE,2012,0,0.145768949,29.49105915,69.13378231,1.229389593
Sweden,SWE,2013,0,0.559817772,35.04815397,62.49962901,1.89239924
Sweden,SWE,2014,1.0804693,0.458640135,36.48689553,59.67849129,2.295503747
Sweden,SWE,2015,1.649927848,0.863213042,36.83042312,58.1586527,2.49778329
Sweden,SWE,2016,2.804077193,0.776224434,39.92506345,52.88720573,3.607429193
Sweden,SWE,2017,4.168797415,1.115281812,39.67909618,50.11703737,4.919787224
Sweden,SWE,2018,6.112154184,2.006186803,47.58607234,38.15798403,6.137602642
Sweden,SWE,2019,6.949709305,4.38164391,44.93370591,33.83472422,9.900216652
Switzerland,CHE,2013,0,0.568471591,60.02507772,37.22124589,2.185204796
Switzerland,CHE,2014,0.242802062,0.646920091,59.94627218,37.13679064,2.027215031
Switzerland,CHE,2015,0.918575991,1.029768781,57.23895948,39.01322576,1.799469981
Switzerland,CHE,2016,0.899106566,1.044072924,56.36827758,39.28745883,2.401084096
Switzerland,CHE,2017,1.132354252,1.519571005,59.00711341,36.05459926,2.286362073
Switzerland,CHE,2018,1.336100748,1.713839521,63.73040397,30.10364458,3.116011185
Switzerland,CHE,2019,1.330404312,4.175753912,60.34426546,27.72767703,6.421899284
Turkey,TUR,2014,0.003405235,0.008342825,37.50781076,62.44315386,0.037287322
Turkey,TUR,2015,0.014746498,0.016675946,38.07201252,61.77693923,0.119625797
Turkey,TUR,2016,0.021402017,0.003038558,38.38742407,61.46949948,0.118635872
Turkey,TUR,2017,0.011068696,0.010515262,38.35552376,61.01023993,0.61265235
Turkey,TUR,2018,0.013365658,0.031871953,39.94995075,59.07188873,0.932922905
Turkey,TUR,2019,0.066622596,0.05732642,45.66539963,50.80205342,3.40859793
United Kingdom,GBR,2001,0,0.001179642,82.16803641,17.80153695,0.029246998
United Kingdom,GBR,2002,0,0.001755938,76.6940606,23.2909554,0.013228066
United Kingdom,GBR,2003,0,0.000077557,72.65513057,27.30294984,0.041842026
United Kingdom,GBR,2004,0,0,67.42576977,32.47831482,0.095915414
United Kingdom,GBR,2005,0,0,63.07112306,36.6924929,0.236384038
United Kingdom,GBR,2006,0,0.012711103,61.31085601,38.29437465,0.382058235
United Kingdom,GBR,2007,0,0.016516733,59.22833989,40.09064649,0.664496887
United Kingdom,GBR,2008,0,0.008400376,55.78455054,43.48503912,0.722009971
United Kingdom,GBR,2009,0,0.002765268,57.43457501,41.82634416,0.736315566
United Kingdom,GBR,2010,0,0.008246775,52.7164976,46.18154559,1.093710032
United Kingdom,GBR,2011,0,0.056889047,47.98864697,50.74807548,1.206388506
United Kingdom,GBR,2012,0,0.087451581,47.72743538,50.94147705,1.243635986
United Kingdom,GBR,2013,0,0.158340682,48.75555087,49.80004301,1.286065446
United Kingdom,GBR,2014,0.264493112,0.325750524,47.81284387,50.09523771,1.501674787
United Kingdom,GBR,2015,0.698499299,0.381772871,48.74704908,48.49502735,1.677651402
United Kingdom,GBR,2016,1.065587834,0.381612204,48.93463498,47.76610544,1.85205954
United Kingdom,GBR,2017,1.37879893,0.534358386,53.47208965,41.92627224,2.68848079
United Kingdom,GBR,2018,1.707118316,0.631308491,62.2139225,31.50159242,3.946058272
United Kingdom,GBR,2019,1.503933124,1.637719913,63.50273025,26.63702761,6.718589095
