Segment,Modellreihe,Insgesamt,,,,,,Gasoline,,,,,Diesel,,,,,,"Erdgas 
(CNG)
(einschl. bivalent)","Flüssiggas 
(LPG)
(einschl. bivalent)",Hybrid,,"Elektro
(BEV)",Other
,,Anzahl,"CO2-Emission
in g/km","Leermasse
in kg","CO2-Emission
je 1 000kg","NOx-Emission
in mg/km","Fahrgeräusch
in dB",Anzahl,"CO2-Emission
in g/km","Kraftstoff-
verbrauch
in l/100km","NOx-Emission
in mg/km","Fahrgeräusch
in dB",Anzahl,"CO2-Emission
in g/km","Kraftstoff-
verbrauch
in l/100km","NOx-Emission
in mg/km","Fahrgeräusch
in dB","Partikelmasse
in mg/km",,,Insgesamt,of which: Plug-in,,
,HYUNDAI G90,36,252.4,2437,103.6,24.1,70,1,316,13.6,-,70,-,-,-,-,-,-,-,-,35,-,-,-
,LEXUS LS,5,215.8,2476,87.2,7,64,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-
,LOTUS EMEYA,31,0,2566,0,0,69.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,-
,LUCID AIR,392,0,2355,0,0,66.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,392,-
,MASERATI GHIBLI,45,257.4,2006,128.3,24.8,70.9,38,267.9,11.5,21.3,71.1,-,-,-,-,-,-,-,-,7,-,-,-
,MASERATI QUATTROPORTE,7,269.7,2064,130.7,25,70.6,7,269.7,11.6,25,70.6,-,-,-,-,-,-,-,-,-,-,-,-
,MERCEDES CLS,127,197.7,1936,102.2,22.2,68.7,-,-,-,-,-,38,181.9,6.9,33.2,68.8,0.7,-,-,89,-,-,-
,MERCEDES S-KLASSE,5575,87.8,2496,35.2,5.6,67.6,174,351.921875,15.2,19.6,70.4,44,189.6,7.2,32.5,69.5,0.3,-,-,2894,985,2463,-
,NIO ET7,128,0,2513.84375,0,0,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,128,-
,POLESTAR 1,1,13,2422,5.4,4.8,68,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-
,PORSCHE PANAMERA,2046,103,2260,45.6,10.3,68.3,576,254,10.9,17.6,69.7,-,-,-,-,-,-,-,-,1470,1470,-,-
,PORSCHE TAYCAN,3891,0,2310,0,0,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3891,-
,ROLLS ROYCE SPECTRE,89,0,2967,0,0,65.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89,-
